Lat,Lon,Z
47.68356134,11.99296403,785.7490234
47.68354808,11.99296545,785.6620483
47.68353481,11.99296687,785.6420288
47.68352155,11.99296829,785.434021
47.68350828,11.99296971,785.3220215
47.68349502,11.99297113,785.1480103
47.68348341,11.99297254,785.4230347
47.68347347,11.99297393,785.2340088
47.68346352,11.99297532,785.1030273
47.68345357,11.99297671,785.0140381
47.68344362,11.99297809,784.8670654
47.68343368,11.99297948,784.7960205
47.68342373,11.99298087,784.552063
47.68341378,11.99298226,784.835022
47.68340383,11.99298365,784.7640381
47.68339389,11.99298504,784.6860352
47.68338394,11.99298643,784.6610107
47.68337399,11.99298782,784.6410522
47.68336404,11.99298921,784.5620117
47.68335409,11.9929906,784.4910278
47.68334415,11.99299199,784.6760254
47.6833342,11.99299338,784.5700073
47.68332107,11.99299585,784.5570068
47.68330794,11.99299833,784.5200195
47.68329481,11.99300081,784.4720459
47.68328168,11.99300328,784.7610474
47.68326855,11.99300576,784.6950073
47.68325542,11.99300823,784.703064
47.68324229,11.99301071,784.7620239
47.68322917,11.99301319,784.7000122
47.68321604,11.99301566,784.6850586
47.68320291,11.99301814,784.7960205
47.68319087,11.99302046,784.90802
47.68317938,11.9930227,785.1160278
47.6831679,11.99302494,785.2240601
47.68315641,11.99302717,785.2250366
47.68314492,11.99302941,785.2510376
47.68313343,11.99303165,785.3410645
47.68312194,11.99303389,785.3730469
47.68311045,11.99303613,785.3540649
47.68309897,11.99303837,785.3330078
47.68308748,11.99304061,785.3060303
47.68307795,11.99304122,785.2710571
47.68306858,11.99303682,785.2130127
47.68305922,11.99303243,785.1880493
47.68304986,11.99302803,785.1800537
47.68304049,11.99302363,785.1050415
47.68303113,11.99301923,785.0730591
47.68302177,11.99301483,784.9710083
47.68300895,11.99300715,784.9760132
47.68299614,11.99299946,785.0820313
47.68298333,11.99299177,784.9240112
47.68297052,11.99298409,785.1190186
47.6829577,11.9929764,784.9260254
47.68294489,11.99296872,785.1670532
47.68293208,11.99296103,784.9440308
47.68291927,11.99295334,784.901062
47.68290645,11.99294566,784.7510376
47.68289364,11.99293797,784.6880493
47.68288083,11.99293029,784.710022
47.68286801,11.9929226,784.6590576
47.6828552,11.99291491,784.6760254
47.68284239,11.99290723,784.6720581
47.68282958,11.99289954,784.6870117
47.6828175,11.99289381,784.6720581
47.68280616,11.99289002,784.6190186
47.68279482,11.99288623,784.6020508
47.68278348,11.99288244,784.6020508
47.68277214,11.99287866,784.5690308
47.6827608,11.99287487,784.5270386
47.68274946,11.99287108,784.5210571
47.68273812,11.99286729,784.5120239
47.68272678,11.99286351,784.53302
47.68271544,11.99285972,784.5230103
47.6827041,11.99285593,784.5320435
47.68269276,11.99285214,784.4880371
47.68268142,11.99284836,784.5040283
47.68267008,11.99284457,784.4380493
47.68265874,11.99284078,784.4620361
47.6826474,11.99283699,784.44104
47.68263471,11.99283329,784.4660645
47.68262202,11.99282958,784.5010376
47.68260933,11.99282588,784.4200439
47.68259664,11.99282217,784.4570313
47.68258396,11.99281847,784.4680176
47.68257127,11.99281476,784.4420166
47.68255858,11.99281105,784.40802
47.68254589,11.99280735,784.368042
47.6825332,11.99280364,784.3740234
47.68252051,11.99279994,784.3760376
47.68251097,11.99279682,784.3850098
47.68250035,11.99279307,784.3770142
